0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
001.453,-00.610,-21.403,001.957,000.257,000.033,-18.612,001.443,-00.305,001.081,-14.439,001.366,-00.380,001.282,-12.602,001.302,-00.498,001.220,-10.027,001.067
-23.642,-02.294,007.984,019.056,-16.795,-02.109,006.831,013.831,-11.123,-02.007,004.857,008.801,-09.091,-01.818,003.947,006.941,-06.266,-01.397,002.809,004.549
008.909,-07.847,003.708,000.612,006.628,-06.295,003.974,000.209,004.526,-05.461,003.310,-00.329,003.730,-04.986,002.785,-00.466,002.681,-04.005,002.103,-00.498
004.305,018.928,003.858,-15.513,003.309,013.378,004.487,-11.376,001.420,007.663,003.839,-08.448,000.734,005.814,003.209,-07.265,000.064,003.753,002.399,-05.413
-18.326,-04.005,008.780,009.333,-12.914,-03.293,006.420,006.855,-08.238,-02.550,004.066,004.800,-06.644,-02.154,003.356,003.985,-04.542,-01.549,002.464,002.784
006.814,-11.154,004.895,-02.856,005.168,-08.475,004.086,-02.282,003.725,-06.189,003.075,-01.662,003.168,-05.302,002.688,-01.404,002.379,-04.016,002.137,-01.026
-09.338,008.840,006.614,-15.255,-06.215,006.634,005.102,-10.972,-03.446,004.701,003.649,-07.415,-02.649,003.906,003.203,-06.125,-01.797,002.770,002.553,-04.385
-12.349,-04.627,007.594,001.738,-08.617,-03.616,005.103,001.312,-05.341,-02.505,003.034,001.484,-04.281,-02.031,002.559,001.493,-02.934,-01.405,001.950,001.266
004.625,-13.184,005.088,-05.711,003.604,-09.755,003.657,-04.315,002.801,-06.445,002.644,-02.732,002.485,-05.284,002.442,-02.151,001.973,-03.828,002.068,-01.442
-13.336,-01.496,005.305,-12.084,-09.057,-00.538,003.723,-08.613,-04.898,001.147,002.766,-05.477,-03.647,001.449,002.600,-04.398,-02.322,001.380,002.227,-03.064
