,0,1,2,3
0,510159.5008282736,549009.0842429561,520397.8025352281,522676.7595197733
1,285317.7789963522,406759.20173502475,405926.7369918618,406708.7498172132
2,-16910.434754295282,-120708.46428034855,-118761.63399076098,-122946.63586895983
3,-781.4147273780453,-785874.4814406864,-1544.1959488696139,5650.472676694621
4,0.0,771005.0134581579,1637921.965270075,-3797.143647774603
5,0.0,-728.2023458444019,-4275900.206224655,756373.1024678274
6,0.0,-862.4846245338558,2680262.4030147623,-1518679.0774728702
7,0.0,0.0,272.88402883623917,-282526.12433756614
8,0.0,0.0,-2677.26461011934,1086020.6899993909
9,0.0,0.0,736.7771942766897,447.17382232418555
10,0.0,0.0,0.0,-3365.2361820183455
11,0.0,0.0,0.0,1564.4296936047408
12,0.0,0.0,0.0,-287.25380163071725
